issue,output,5_1examples,5_2examples,5_3examples,5_4examples,5_5examples,10_1examples,10_2examples,10_3examples,10_4examples,10_5examples,15_1examples,15_2examples,15_3examples,15_4examples,15_5examples
""""""" Hi guys So I have a docker instance on a linux box I want to be able to set the host ip as an environment variable from my docker file Note that its not the ip of the docker container i want, rather the ip of the host machine I want to be able to set the host ip as an environment variable from my docker fileNote that its not the ip of the docker container i want, rather the ip of the host machine """"""","The sentence """""" I want to be able to set the host ip as an environment variable from my docker file """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""set the host ip as an environment variable from my docker file"". The answer is YES.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
""""""" i have install Appium server  but still have problem how to link with android studio i need help please. i wanna run a test with android studio but no success on doing that """"""","The sentence """""" i wanna run a test with android studio but no success on doing that """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""run a test with android studio"". The answer is YES.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
""""""" Hi all, Does anybody have example code for how to create a component library for Angular? Ideally I would like to create a library for my components where the view code is not embeded within the component source i.e. remains in separate HTML files. It would also be good to be able to have a test site that can be run up from the component library to view the created components. """"""","The sentence """""" Ideally I would like to create a library for my components where the view code is not embeded within the component source """""" uses <pattern>would like to VB</pattern> indicate that the user expects to ""create a library for the components"". The answer is YES.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
""""""" I am trying to create reusable header and footer in my Nebular project, but still unsuccessful. I don't see any problems in the console, but I suppose that I have done some incorrect routing. The lazyloaded module, which should display some content, is not loaded when the application loads. Here is my sample application under stackblitz: [link] """"""","The sentence """""" I am trying to create reusable header and footer in my Nebular project """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""create reusable header and footer"". The answer is YES.",0,1,0,0,0,0,1,1,1,0,1,1,1,0,0
""""""" I haven't looked into this yet, but does anyone know if you can access context of an element through ViewChildren? Specifically trying to grab context for a mat-row in a mat-table  [code]. I am hoping for access to that row context. """"""","The sentence """""" Specifically trying to grab context for a mat-row in a mat-table  [code] """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""grab context for a mat-row in a mat-table"". The answer is YES.",0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
""""""" when I create an HTTP server in node, how can I make it visible on the internet (from my phone at work for example). i've tried googling the answer to no avail. i know i have to configure my modem/router some specific way and i have to create my express server in node with an ip of ""0.0.0.0""... but still i can't figure it out. any ideas? """"""","The sentence """""" how can I make it visible on the internet (from my phone at work for example). """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""make HTTP server visible on the internet"". The answer is YES.",0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
""""""" Hello, my name is Bruna and I`m a journalist from Brazil. I work for the website ADVFN news br ( [<-LINK->] ).  Can u guys help me with a few questions about Ethereum? Why you should I invest in Ether and not in Bitcoins? What are the reasons for invest in Ether And the differences between Ether x Bitcoin """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
""""""" I am quite new to Angular. Currently I have the challenge that I can't get a map from the JSON processed by the backend. I get the error message that the map has no get function. Does anyone have a best practice guide. """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
""""""" Hi, I'm trying to import my wallet. When i drag and drop my keystore file it flashes importing but nothing shows up in the mist wallet. Does it need my passcode or something else? I also sent Eth when my wallet wasnt synced. Will the transaction go throgh? """"""","The sentence """""" I'm trying to import my wallet """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""import my wallet"". The answer is YES.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
""""""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """"""","The sentence """""" I need to split the routed to component in half and put a nav bar in between it's two sections. """""" uses <pattern>need to VB</pattern> to indicate that the user expects to ""split the routed to component in half and put a nav bar in between it's two sections"". The answer is YES.",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
""""""" i have an array filter in a subscribe block. i can console log a variable in the subscribe above my filter, but i'm getting undefined errors for the same variable in the filter block. anyone have an idea why? """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
""""""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""","The sentence """""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? """""" uses <pattern>how can I VB</pattern> to indicate that the user expects to ""change a property of a component in a subscribed event"". The answer is YES.",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
""""""" hey - can i get some n00b help. I have the following message ""[ts] Cannot invoke an expression whose type lacks a call signature. Type 'Action<any, any>' has no compatible call signatures."" but cant wrap my head around whats going on """"""",No sentences found to indicate the user's expectation. The answer is NO.,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
""""""" I am trying to post a form to a rest interface, which allows x-www-form-urlencoded but I don't receive any content, neither on parameters, nor in body. I also tried FormBuilder, but this one led to many cors issues """"""","The sentence """""" I am trying to post a form to a rest interface """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""post a form to a rest interface"". The answer is YES.",0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
""""""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """"""","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""set the width of some child element in a property"". The answer is YES.",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
""""""" Hello, I would like to use this exact component with two calendars in the material angle. I didn't find anything in the documentation, does anyone have any ideas?  """"""","The sentence """""" I would like to use this exact component with two calendars in the material angle. """""" uses <pattern>would like to VB</pattern> indicate that the user expects to ""use this exact component with two calendars in the material angle"". The answer is YES.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
""""""" hey all i am using connect-multiparty package to handle file uploads but it's stated that i should remove temp files on the server? what exactly does that mean and how will i do it? arun-awnics: thank you yes i am looking at this package now and there's seems to be a lot of good comments about it. But for future reference do you know the answer to my questiona bout the server temp files? """"""","The sentence """""" but it's stated that i should remove temp files on the server? """""" uses <pattern>should VB</pattern> to indicate that the user expects to ""remove temp files on the server"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
""""""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp. Anyone could provide some guidance on how I could do this? """"""","The sentence """""" and during development I would be able to watch the folder and serve the webapp. """""" uses <pattern>would be ADJ to VB</pattern> to indicate that the user expects to ""watch the folder and serve the webapp"". The answer is YES.",0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" can I just provide a mock for the service itself so that I can focus on the actual component? """""" uses <pattern>can I VB</pattern> to indicate that the user expects to ""only focus on the actual component"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
