issue,y,y_pred,result
"I came across this old repo, dl4j-spark-ml. I was curious if there are any future plans to work with SparkML pipelines and DataFrames, or what the alternative is? Is the DatasetFacade the intended way to interact with DataFrames?",0,0,1
"hey guys anybody awake, need a second pair of eyes Hey dude thanks I'm trying to authenticate to a site using node, the site uses x-www-form-urlencoded but nothing shows up in the network panel for me to inspect the POST request and reverse engineer it every other site is easy peezy, but this one holy mooly the site is jdate.com :) once you're logged into the site all API requests are authenticated with a token that's appended to the end of the endpoint url but i can't see how the browser receives that token yeap using AJAX you can try it jdate.com and try to login even if you put a bs email addy and password try to inspect the POST request nothing shows up lol",0,0,1
"Getting http host connection exception while running Android on Windows.Appium version: 1.4.16 Android version: 6.0 Windows 7. After some test case it automatically coming in the logs.Anyone have the idea on this error? Actual Error: failed: Connection refused: priyankshah217: I tried on four systems, only on one system am getting this error. Others it working. Anything specific to it. On that system, installed Anti-virus. Anything related to adb or SDK version?",1,1,1
"My EthereumWallet sync pedning 2 days by now! What's wrong? I have about 99% progress and it can't catch up the lasts blocks. Any advices? ""Downloading block 4,891,986 of 4,892,236,"" and sometimes it just hangs still..",1,1,1
"Hii.... As a part of my course work, I am trying to run DBN and Convolutional Nets against MNSIT dataset and CIFAR10 dataset (or any other dataset) for image recognition. Can someone suggest me if it is feasible with deeplearning4j ? THANKS !! Thanks@AlexDBlack!!",0,0,1
"is it possible to remove a type from a union? for example, how would you create a new type fromtype Example = Foo | Bar | BazwithBazremoved? can't seem to google the answer. I'm just getting guides how to remove keys from types ty",0,0,1
"Hi guys, do have any idea why theres always an error whenever i try to deposit my edoge token? I paid the 3x already",0,0,1
Are there any video/tutorials about this? I am not familiar with how to do pool mining with a gaming computer.,0,0,1
"How can i run docker command in dockerfile? The docker from host ,example",0,0,1
"hey guys, im getting a weird issue where I'm not importing angular or jquery or anything client-side, but when i try to transpile my assets with typescript, i get a bunch of errors (and understandably so, bc its a server-side folder calledcronand doesnt have the DOM) the errors are related to DOM features that aren't found on the server so it saysCannot find name ____ the architecture is: and im transpiling withtsc --watch --project ./lib/cron/tsconfig.json here are some samples of errors im getting fromtsc also i can easily fix it by including""dom""in my cron folder's tsconfig, but i'm not sure why i would need to its not importing anything using the DOM",0,0,1
"Hi, I can't upload avatar to my community rooms - after uploading avatar url request is time-outed. Any help with this? Thank you",1,1,1
does anybody know how when on docker cloud how to use the -it switches when launching your container?,0,0,1
"hi , is there any tutorial for robotframework using appiumlibrary?",0,0,1
"Hi I am trying to create a FeedForward network that takes the output of an RNN does this look like it is configured correctly? Somehow I have to tell it how to time-mask the output java.lang.IllegalStateException: Invalid mask array: per-example masking should be a column vector, per output masking arrays should be the same shape as the output/labels arrays. Mask shape: [50, 6], output shape: [300, 98] eraly: no, I was following the examples. I dont see an RNNLayer class",0,0,1
Does anyone know how to use driver.ExecuteJavaScript() to change to an IFrame? There's a bug with Appium in that driver.SwitchTo().Frame(iFrameElement) doesn't work on iOS,0,0,1
Hi we have faced the below error in Jenkinsapi npm package Could you please suggest to overcome that issue.,1,1,1
"Hello, how to check how many times a route has been navigated to? routerevents works fine, but i dont want to leave the OB subscribed. Here is my code.",0,0,1
"hello everyone. could soumeone help me with listening on ""expired"" redis event. i've tried to use it smth like that listener.config but my approach doesn't work",0,0,1
"I wonder why I did not have a GitLab account until today. Was GitLab previously limited access, invitation-only or something like that?",1,1,1
"Hello guys,Please, how to mock @google-cloud/logging ? I have gcloud credentials on dev and prod but not tests I use docker-compose on dev",0,0,1
"Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? Also: why is this.activatedRoute.url=""""? Oh, I guess I found out - it's bc. it is injected into a service...",0,1,0
"Hey there..I'm trying to get the GPU backend to work with CUDA 7.5 on OS X 10.10.5 with NVIDIA GeForce GT 750M, but there seems to be a memory allocation issue:CudaZeroHandler: Out of [DEVICE] memory, host memory will be used instead: deviceId: [0], requested bytes: [182200]\nException in thread ""main"" java.lang.RuntimeException: Can't allocate [HOST] memory: 1014960; Is this a known thing with a simple solution (I googled, didn\'t find one)? Two related issues may be: and â€” I have also seenCan't allocate [DEVICE] special buffer memory!messages. I'm using dl4j 0.8.0.",0,0,1
"Hi again - I have now done some optimizing in allocation of new arrays and added a workspace. This has cut processing time in half, still deallocation is the bottle neck. Is this to be expected? ( ) (don't know about the explicit call to detach, but it makes it run a little faster) treo: But the workspace creation is ok?",1,1,1
Does the index signature work with getters? I have effectively this: Where I would expect to do something like this: [code],0,0,1
hey allo ! anyone know how to target a specific device when running container ? from here it says. what is the device serial? the actual android device serial ? or the usb serial ?,0,0,1
"hey there im trying to deploy an app over a docker swarm cluster, currently having an issue, my containers can't comunicate between them on overlay network, if they're deployed on the same host there is no problem, but on different host they just won't comunicate, i have opened all necessary ports on all the hosts, they are joining the overlay network and show as peers, they're showing on the gossip service but if i try to curl a service or ping a service name it just times out.",0,0,1
"Hello guys, I want to know how to do business in the ethereum. I want to invest a lot of money in ethereum Is someone talking to me",0,0,1
"Anyone able to help / point me in the direction for figuring out what I'm doing incorrectly to get mocha to run?? Driving me crazy. I've run through all the tutorials I can handle, and backed out and in and all around but I had it working in the same file folder last night!",0,1,0
"I am having some problem in installing node-v4.4.4. I have downloaded the file Linux Binaries (.tar.xz), but I am not able to install it. Neither there is any configure file, nor the command make install is working.",1,1,1
It seems to work but is there a way to check whether this was really computed by gpu ? According to stack trace output in the begining it works fine :) Thank you guys,0,0,1
"Hello, is there a support email or ticket system so I can keep track of the issue I have experienced'",0,0,1
"> I have a component that is part of a module. I want to import that component into another module, how is that done? [code] This is what the component want to import in this module. I always get an error when it is imported or declared or exported. [code] Any help is greatly appreciated.",0,0,1
"Hello all, I am trying to run DL4J in raspberry Pi. I am getting linking error while loading jnind4j. (as it is not built for Raspberry5). I could successfully build ""libnd4j"" . But no clue how to build ""jnind4j"" myself from the source. any pointers?",0,0,1
"Hey, does anyone know what is the right way to deal with relationships in sequelize? I have two models; A category can have many subCategory and a subCategory can only belong to one category. In my category, I used the ""hasMany"" method to associate with the subCategory. Do I need to invoke the ""belongsTo"" method in subCategory to associate to category? Because when I do so, I get 2 foreign keys (I only need one in subCategory)",0,0,1
"I seem to be struggling with using TypeScript to write a Node module test.ts as far as i can tell, it's telling me I can't export something I'm trying to export, because I'm not exporting it? Phantom190: that is unfortunately not possible because I need a CommonJS-style export NaridaL: in the actual code, I'm trying to export multiple things specifically I'm trying to export a function this is closer to what it looks like in practice I'm writing a module you can if you use CommonJS modules! but apparently you can't generate declaration files for CommonJS modules that's the limitation I'm running up against",0,0,1
Hi! Are the stats for network IO suposed to work when I'm running a container with --net=host ?,1,1,1
hi i have xcode 11.1 and running appium but getting error appium simulator device not starting,1,1,1
Why wordpress can't pull anything with this? {{config.PayoutThreshold}}{{format-number stats.model.minersTotal}} How to tell wordpress to read this type of tags,0,0,1
is good practice stringify json data and then store in my sql or to insert in separate rows for each values?,1,0,0
"One company issued a token/product against an ETH token. The company develop its own Wallet. When the users conduct transaction, the wallet displays ETH transaction (TX) number/ID. However, upon checking in Etherscan.Io, I could not see the TX number in Etherscan.Io. Could those ETH TX numbers/IDs be a set of self-generated dummy/scam numbers? Anyone can clarify? sh4d0v1: I see - noted with thanks. How about those untraceable ETH TX transations which can't be found in Etherscan.Io?",1,0,0
"I have an interface that has some properties [code] and a bunch of other stuff... I then use an HttpClient to get a yaml list of items and stuff that I then kind of smash against this interface, but in yaml sometimes certain properties are missing. Like... an item might have stamina, but not having anything listed for magic defence or skill... Is there like a smart way to default the values of this interface that aren't populated by the data from my yaml to 0? I'm thinking in the end I'll probably have to map all my data to a class of some sort, but I'm still wondering if it's entirely necessary or if there's a nice way to map the data to that class if I end up having to do that",0,0,1
"Does anyone teach me how to transform libsvm format data to NDArray RecordConverter.toArray return null for Collection[Writable] got by using LibSvmRecordReader. my version of RecordConverter may be old. /** I avoied by using latest RecordConverter.java. ""0.0.0.16"" does not work for LibSvmRecordReader; Can I use like above?",0,0,1
"Hello, i need contact with Vitalik... How can i contact with Vitalik please!? LogvinovLeon: Thank you! I tried to contact him by twitter but he did not respond. The problem is that I lost his number and I have written emails but he does not respond ... :(",0,0,1
"I have some places where I use{ [key: string]: any }, can I safely replace that with Object? Or should I use object?",0,0,1
"pls i need help, my ionic project i tried to run ionic build, i got this error [ERROR] ng has unexpectedly closed (exit code 3). i ran npm install [code]. it was to no avail and now i can't even run ionic serve cos it will give me the same error",0,0,1
"Hey guys,I just installed the gitter app for windows, and I think I typed the wrong github credentials password in during the OAuth process. Now, gitter asks for my permission (it does it anyways, despite the fact that my credentials were wrong) and when I click either deny or allow, the gitter window disappears. the process appears to be still running, though. is there a way to completely reset the typed-in credentials ? I tried uninstalling and re-installing it again, but the problem persists.",0,0,1
"When working with docker on windows, I am not able to delete files that were created during the runtime of a container. For instance, I am using Django, and the py files become compiled pyc files. Some of them cannot be deleted, unless I restart the computer. Has anyone run into the problem and how can I solve that in more developer friendly way ?",0,0,1
"We found this today in code and for some reason it passes TSC, anyone can explain why this is valid?const foo: | { bar: string } thanks!",1,1,1
"I have a apple script to enable touchid on simulator and I need to run this apple script as part of jenkins setup, Has anybody tried this? When I try to run the applescript from command line i get ""0:13: syntax error: A unknown token can't go after this identifier. (-2740)"" but when I run the script using apple script editor it works fine",0,0,1
Anyone know how to create something like google docs' comments and suggestions using angular material? I've got the basic format of the mat-card down just not sure how to handle how to do the layout of each card,0,0,1
"If I am using gensim at the moment, any efficient way to call it from scala?",0,0,1
"I'm using express to return a json on my post route and while I have a success block on my JS frontend, the browser doesn't execute it but rather loads up the json.Do you have any suggestions?",0,0,1
